	acc_observed	blca_observed	brca_observed	cesc_observed	chol_observed	coad_observed	dlbc_observed	esca_observed	gbm_observed	hnsc_observed	kich_observed	kirc_observed	kirp_observed	laml_observed	lgg_observed	lihc_observed	luad_observed	lusc_observed	meso_observed	ov_observed	paad_observed	pcpg_observed	prad_observed	read_observed	sarc_observed	skcm_observed	stad_observed	tgct_observed	thca_observed	thym_observed	ucec_observed	ucs_observed	uvm_observed	pancancer_observed
TAGLN2	0.0	2.0	2.0	1.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	32.0
TAGLN3	1.0	3.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	26.0
TAL1	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	1.0	4.0	1.0	0.0	2.0	0.0	0.0	0.0	8.0	6.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	19.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	60.0
TAL2	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	19.0
TALDO1	0.0	5.0	1.0	1.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	7.0	6.0	0.0	0.0	0.0	14.0	0.0	0.0	53.0
TAMM41	0.0	2.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	4.0	0.0	0.0	0.0	14.0	0.0	0.0	36.0
TANC1	1.0	17.0	13.0	7.0	0.0	22.0	0.0	2.0	7.0	14.0	0.0	2.0	1.0	2.0	2.0	3.0	18.0	7.0	0.0	8.0	2.0	0.0	2.0	5.0	1.0	31.0	22.0	0.0	0.0	0.0	43.0	1.0	0.0	233.0
TANC2	0.0	18.0	15.0	12.0	0.0	25.0	0.0	2.0	5.0	5.0	0.0	1.0	4.0	0.0	4.0	7.0	16.0	11.0	0.0	5.0	2.0	1.0	2.0	3.0	0.0	49.0	17.0	0.0	1.0	1.0	52.0	1.0	0.0	259.0
TANGO2	0.0	1.0	2.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	30.0
TANGO6	1.0	7.0	6.0	7.0	0.0	8.0	0.0	5.0	0.0	10.0	1.0	1.0	6.0	0.0	4.0	4.0	7.0	6.0	0.0	1.0	1.0	0.0	1.0	2.0	5.0	17.0	8.0	0.0	0.0	0.0	34.0	1.0	0.0	143.0
