	acc_observed	blca_observed	brca_observed	cesc_observed	chol_observed	coad_observed	dlbc_observed	esca_observed	gbm_observed	hnsc_observed	kich_observed	kirc_observed	kirp_observed	laml_observed	lgg_observed	lihc_observed	luad_observed	lusc_observed	meso_observed	ov_observed	paad_observed	pcpg_observed	prad_observed	read_observed	sarc_observed	skcm_observed	stad_observed	tgct_observed	thca_observed	thym_observed	ucec_observed	ucs_observed	uvm_observed	pancancer_observed
A1BG	1.0	4.0	3.0	1.0	0.0	8.0	0.0	0.0	2.0	7.0	0.0	1.0	0.0	0.0	1.0	4.0	5.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	1.0	6.0	5.0	0.0	0.0	1.0	17.0	0.0	0.0	73.0
A1CF	0.0	3.0	8.0	4.0	1.0	7.0	0.0	1.0	4.0	8.0	0.0	3.0	0.0	0.0	3.0	4.0	14.0	16.0	0.0	3.0	1.0	0.0	6.0	1.0	2.0	54.0	10.0	0.0	1.0	0.0	23.0	0.0	0.0	177.0
A2M	0.0	15.0	12.0	5.0	1.0	22.0	1.0	5.0	5.0	8.0	0.0	3.0	3.0	0.0	4.0	4.0	25.0	21.0	0.0	2.0	1.0	1.0	2.0	7.0	3.0	55.0	26.0	1.0	1.0	0.0	43.0	1.0	0.0	277.0
A2ML1	1.0	12.0	10.0	6.0	0.0	35.0	0.0	1.0	6.0	7.0	0.0	1.0	2.0	0.0	5.0	5.0	29.0	18.0	1.0	8.0	1.0	0.0	1.0	6.0	1.0	54.0	18.0	0.0	1.0	1.0	48.0	2.0	0.0	280.0
A4GALT	1.0	1.0	1.0	1.0	0.0	8.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	16.0	4.0	0.0	0.0	1.0	18.0	0.0	0.0	63.0
A4GNT	0.0	3.0	1.0	3.0	0.0	6.0	0.0	1.0	2.0	5.0	0.0	1.0	1.0	0.0	0.0	1.0	8.0	11.0	0.0	2.0	1.0	0.0	1.0	4.0	1.0	4.0	2.0	0.0	0.0	0.0	20.0	1.0	0.0	79.0
AAAS	0.0	3.0	2.0	3.0	0.0	7.0	0.0	0.0	0.0	5.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	12.0	8.0	1.0	1.0	0.0	21.0	0.0	0.0	73.0
AACS	1.0	2.0	2.0	4.0	0.0	8.0	0.0	3.0	3.0	4.0	0.0	1.0	0.0	1.0	2.0	1.0	13.0	5.0	0.0	2.0	1.0	0.0	0.0	3.0	1.0	15.0	9.0	1.0	1.0	0.0	21.0	0.0	0.0	104.0
AADAC	0.0	2.0	6.0	0.0	0.0	8.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0	0.0	1.0	6.0	7.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	21.0	8.0	0.0	0.0	0.0	18.0	0.0	0.0	89.0
AADACL2	0.0	5.0	4.0	5.0	0.0	9.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	6.0	2.0	9.0	9.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	23.0	7.0	0.0	1.0	0.0	27.0	1.0	0.0	116.0
AADACL3	0.0	4.0	1.0	2.0	0.0	6.0	1.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	8.0	3.0	0.0	1.0	2.0	0.0	1.0	2.0	1.0	15.0	4.0	0.0	0.0	0.0	17.0	0.0	0.0	76.0
AADACL4	0.0	7.0	4.0	0.0	0.0	11.0	0.0	1.0	6.0	5.0	0.0	2.0	0.0	0.0	2.0	1.0	6.0	5.0	0.0	0.0	1.0	1.0	6.0	2.0	1.0	17.0	3.0	0.0	0.0	0.0	18.0	0.0	1.0	100.0
AADAT	0.0	4.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	13.0	8.0	0.0	0.0	0.0	13.0	0.0	0.0	58.0
AAED1	0.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	18.0
AAGAB	0.0	5.0	1.0	3.0	0.0	4.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	3.0	0.0	0.0	0.0	8.0	0.0	0.0	37.0
AAK1	0.0	3.0	8.0	3.0	0.0	10.0	0.0	4.0	1.0	5.0	0.0	1.0	1.0	0.0	0.0	1.0	9.0	9.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	17.0	6.0	1.0	0.0	0.0	25.0	0.0	0.0	109.0
AAMDC	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	9.0	0.0	0.0	16.0
AAMP	0.0	3.0	1.0	4.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0	3.0	0.0	0.0	0.0	10.0	0.0	0.0	43.0
AANAT	0.0	2.0	1.0	0.0	0.0	3.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	11.0	0.0	0.0	33.0
AAR2	0.0	4.0	1.0	1.0	0.0	5.0	0.0	1.0	1.0	3.0	0.0	1.0	1.0	0.0	0.0	2.0	5.0	4.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	9.0	5.0	0.0	0.0	1.0	15.0	0.0	0.0	62.0
AARD	0.0	2.0	0.0	1.0	0.0	5.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	40.0
AARS	0.0	4.0	11.0	6.0	0.0	12.0	0.0	1.0	6.0	2.0	0.0	2.0	2.0	1.0	3.0	1.0	5.0	5.0	0.0	3.0	1.0	0.0	1.0	2.0	0.0	14.0	6.0	0.0	0.0	0.0	32.0	1.0	0.0	121.0
AARS2	0.0	5.0	5.0	4.0	0.0	11.0	1.0	3.0	4.0	6.0	0.0	1.0	2.0	0.0	0.0	5.0	11.0	12.0	1.0	2.0	1.0	0.0	1.0	1.0	2.0	15.0	15.0	0.0	0.0	0.0	33.0	1.0	0.0	142.0
AARSD1	1.0	3.0	3.0	4.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	6.0	1.0	1.0	0.0	6.0	0.0	0.0	42.0
AASDH	0.0	12.0	7.0	8.0	0.0	13.0	0.0	5.0	2.0	5.0	0.0	3.0	3.0	1.0	2.0	5.0	15.0	14.0	0.0	5.0	2.0	0.0	2.0	5.0	2.0	14.0	10.0	0.0	1.0	0.0	41.0	0.0	0.0	177.0
AASDHPPT	1.0	2.0	5.0	2.0	0.0	4.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	6.0	2.0	0.0	0.0	0.0	17.0	0.0	0.0	57.0
AASS	0.0	11.0	6.0	5.0	0.0	15.0	2.0	2.0	2.0	3.0	0.0	4.0	3.0	0.0	0.0	3.0	18.0	19.0	0.0	5.0	1.0	0.0	2.0	6.0	1.0	22.0	10.0	0.0	2.0	0.0	38.0	0.0	0.0	180.0
AATF	1.0	4.0	2.0	4.0	0.0	4.0	1.0	0.0	3.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	2.0	5.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	12.0	5.0	0.0	0.0	0.0	23.0	0.0	0.0	77.0
AATK	0.0	8.0	6.0	2.0	0.0	14.0	0.0	2.0	1.0	3.0	0.0	3.0	4.0	1.0	0.0	5.0	4.0	7.0	0.0	0.0	1.0	0.0	2.0	4.0	0.0	13.0	7.0	0.0	0.0	0.0	13.0	0.0	0.0	100.0
ABAT	0.0	2.0	4.0	1.0	0.0	10.0	0.0	0.0	1.0	6.0	0.0	1.0	0.0	0.0	1.0	2.0	12.0	5.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	19.0	5.0	0.0	1.0	0.0	19.0	0.0	0.0	93.0
ABCA1	0.0	13.0	11.0	5.0	0.0	36.0	1.0	4.0	6.0	14.0	0.0	7.0	4.0	0.0	4.0	7.0	18.0	24.0	0.0	9.0	3.0	0.0	5.0	5.0	2.0	41.0	18.0	0.0	0.0	2.0	55.0	1.0	0.0	295.0
ABCA10	0.0	7.0	12.0	6.0	0.0	20.0	1.0	6.0	4.0	10.0	0.0	5.0	3.0	3.0	1.0	5.0	33.0	25.0	0.0	3.0	2.0	0.0	1.0	7.0	2.0	34.0	24.0	0.0	0.0	0.0	51.0	0.0	0.0	265.0
ABCA12	4.0	26.0	17.0	18.0	0.0	37.0	1.0	11.0	3.0	19.0	1.0	6.0	6.0	1.0	4.0	18.0	39.0	20.0	0.0	8.0	3.0	2.0	4.0	8.0	1.0	100.0	49.0	0.0	2.0	0.0	78.0	4.0	1.0	491.0
ABCA13	2.0	40.0	38.0	15.0	2.0	65.0	2.0	13.0	8.0	34.0	0.0	13.0	11.0	1.0	10.0	31.0	88.0	62.0	0.0	14.0	5.0	6.0	12.0	12.0	10.0	102.0	50.0	1.0	2.0	0.0	93.0	3.0	1.0	746.0
ABCA2	1.0	10.0	4.0	8.0	0.0	31.0	1.0	6.0	2.0	12.0	1.0	2.0	1.0	0.0	4.0	4.0	19.0	11.0	0.0	0.0	1.0	1.0	1.0	5.0	2.0	29.0	29.0	1.0	2.0	1.0	38.0	1.0	0.0	228.0
ABCA3	1.0	10.0	12.0	8.0	0.0	26.0	1.0	4.0	2.0	10.0	0.0	1.0	1.0	1.0	3.0	6.0	12.0	11.0	0.0	6.0	1.0	0.0	3.0	4.0	4.0	34.0	20.0	0.0	2.0	0.0	40.0	1.0	0.0	224.0
ABCA4	0.0	13.0	12.0	9.0	0.0	36.0	1.0	1.0	6.0	14.0	0.0	2.0	5.0	4.0	4.0	12.0	17.0	27.0	0.0	8.0	3.0	0.0	4.0	4.0	3.0	72.0	19.0	0.0	1.0	0.0	59.0	2.0	0.0	338.0
ABCA5	1.0	10.0	12.0	6.0	0.0	23.0	0.0	1.0	7.0	6.0	0.0	3.0	4.0	1.0	3.0	2.0	25.0	13.0	0.0	2.0	1.0	0.0	3.0	3.0	2.0	29.0	22.0	1.0	1.0	0.0	49.0	1.0	0.0	231.0
ABCA6	1.0	16.0	13.0	5.0	0.0	20.0	1.0	7.0	4.0	9.0	0.0	3.0	3.0	6.0	4.0	4.0	27.0	23.0	0.0	7.0	1.0	0.0	1.0	6.0	1.0	46.0	9.0	0.0	0.0	0.0	51.0	2.0	0.0	270.0
ABCA7	1.0	10.0	14.0	8.0	0.0	20.0	1.0	1.0	7.0	11.0	0.0	6.0	7.0	0.0	6.0	8.0	16.0	9.0	0.0	1.0	1.0	0.0	2.0	4.0	3.0	32.0	23.0	1.0	0.0	2.0	46.0	1.0	0.0	241.0
ABCA8	0.0	18.0	21.0	6.0	0.0	24.0	1.0	2.0	4.0	9.0	0.0	4.0	3.0	0.0	4.0	1.0	24.0	26.0	0.0	4.0	1.0	0.0	3.0	8.0	2.0	58.0	16.0	0.0	1.0	0.0	53.0	1.0	0.0	294.0
ABCA9	0.0	16.0	15.0	5.0	1.0	22.0	0.0	2.0	6.0	11.0	0.0	1.0	0.0	1.0	1.0	5.0	28.0	32.0	0.0	8.0	2.0	1.0	3.0	8.0	3.0	34.0	18.0	0.0	2.0	0.0	57.0	2.0	0.0	284.0
ABCB1	1.0	13.0	10.0	7.0	0.0	23.0	1.0	6.0	11.0	18.0	0.0	7.0	0.0	1.0	5.0	8.0	43.0	34.0	0.0	7.0	5.0	0.0	6.0	5.0	0.0	53.0	34.0	0.0	1.0	0.0	57.0	2.0	0.0	358.0
ABCB10	0.0	6.0	8.0	2.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	2.0	9.0	12.0	0.0	2.0	1.0	0.0	1.0	2.0	0.0	14.0	13.0	0.0	0.0	0.0	21.0	0.0	0.0	108.0
ABCB11	1.0	5.0	14.0	4.0	0.0	19.0	0.0	4.0	4.0	8.0	0.0	2.0	2.0	1.0	0.0	4.0	30.0	17.0	0.0	4.0	1.0	0.0	3.0	5.0	4.0	57.0	10.0	0.0	4.0	0.0	39.0	1.0	0.0	243.0
ABCB4	1.0	10.0	12.0	7.0	0.0	17.0	0.0	3.0	10.0	12.0	0.0	2.0	3.0	0.0	4.0	4.0	19.0	17.0	1.0	12.0	0.0	0.0	2.0	5.0	2.0	33.0	29.0	0.0	0.0	1.0	55.0	1.0	0.0	262.0
ABCB5	1.0	19.0	9.0	7.0	0.0	22.0	2.0	4.0	8.0	10.0	0.0	3.0	3.0	1.0	4.0	11.0	53.0	30.0	0.0	8.0	5.0	1.0	3.0	8.0	7.0	73.0	19.0	0.0	1.0	1.0	53.0	1.0	0.0	367.0
ABCB6	0.0	5.0	6.0	4.0	0.0	4.0	0.0	3.0	3.0	6.0	0.0	1.0	3.0	0.0	0.0	2.0	5.0	6.0	0.0	1.0	2.0	0.0	1.0	5.0	1.0	10.0	15.0	0.0	0.0	0.0	37.0	1.0	0.0	121.0
ABCB7	0.0	5.0	7.0	6.0	0.0	5.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	1.0	3.0	1.0	14.0	11.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	15.0	5.0	0.0	1.0	0.0	43.0	2.0	0.0	131.0
ABCB8	0.0	8.0	9.0	1.0	0.0	10.0	1.0	1.0	3.0	5.0	0.0	2.0	1.0	0.0	1.0	1.0	12.0	9.0	0.0	3.0	0.0	0.0	1.0	3.0	0.0	19.0	10.0	0.0	1.0	0.0	23.0	1.0	0.0	125.0
ABCB9	0.0	1.0	2.0	3.0	0.0	12.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	6.0	4.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	17.0	5.0	0.0	1.0	1.0	21.0	0.0	0.0	86.0
ABCC1	1.0	11.0	10.0	5.0	1.0	23.0	2.0	0.0	8.0	5.0	0.0	1.0	5.0	0.0	2.0	4.0	17.0	11.0	0.0	4.0	1.0	0.0	1.0	8.0	1.0	37.0	16.0	1.0	0.0	1.0	49.0	2.0	0.0	227.0
ABCC10	1.0	7.0	12.0	5.0	0.0	12.0	1.0	0.0	5.0	10.0	1.0	4.0	6.0	0.0	5.0	5.0	8.0	14.0	1.0	6.0	2.0	1.0	2.0	2.0	1.0	32.0	15.0	0.0	1.0	0.0	37.0	1.0	0.0	197.0
ABCC11	3.0	13.0	7.0	4.0	0.0	17.0	0.0	5.0	3.0	8.0	0.0	2.0	4.0	1.0	5.0	5.0	35.0	27.0	0.0	5.0	2.0	0.0	3.0	5.0	1.0	34.0	18.0	0.0	0.0	1.0	51.0	0.0	0.0	259.0
ABCC12	1.0	13.0	12.0	4.0	0.0	21.0	0.0	4.0	2.0	8.0	0.0	3.0	3.0	1.0	3.0	3.0	18.0	30.0	0.0	3.0	0.0	0.0	3.0	5.0	3.0	42.0	20.0	0.0	0.0	1.0	51.0	1.0	0.0	255.0
ABCC2	2.0	10.0	8.0	3.0	1.0	12.0	0.0	0.0	4.0	7.0	0.0	1.0	4.0	0.0	0.0	4.0	13.0	15.0	0.0	3.0	2.0	0.0	1.0	8.0	1.0	24.0	18.0	0.0	2.0	2.0	60.0	2.0	0.0	207.0
ABCC3	2.0	15.0	9.0	7.0	0.0	17.0	1.0	1.0	6.0	3.0	0.0	0.0	1.0	1.0	2.0	6.0	12.0	10.0	0.0	11.0	1.0	0.0	2.0	2.0	5.0	55.0	15.0	0.0	1.0	0.0	42.0	0.0	0.0	227.0
ABCC4	0.0	12.0	12.0	7.0	0.0	15.0	0.0	3.0	6.0	3.0	0.0	5.0	2.0	0.0	3.0	3.0	18.0	8.0	0.0	0.0	1.0	0.0	3.0	2.0	0.0	31.0	23.0	1.0	1.0	1.0	47.0	1.0	0.0	208.0
ABCC5	1.0	21.0	11.0	6.0	0.0	15.0	1.0	4.0	6.0	9.0	0.0	2.0	7.0	0.0	1.0	3.0	16.0	12.0	0.0	4.0	1.0	0.0	4.0	3.0	2.0	28.0	16.0	0.0	2.0	0.0	41.0	0.0	0.0	216.0
ABCC6	2.0	6.0	5.0	6.0	0.0	13.0	0.0	0.0	4.0	4.0	0.0	6.0	3.0	0.0	1.0	4.0	9.0	10.0	0.0	5.0	3.0	0.0	2.0	4.0	1.0	57.0	17.0	1.0	0.0	1.0	50.0	0.0	0.0	214.0
ABCC8	0.0	10.0	12.0	6.0	0.0	18.0	0.0	4.0	4.0	20.0	0.0	4.0	0.0	1.0	1.0	8.0	25.0	20.0	2.0	7.0	1.0	0.0	2.0	6.0	3.0	42.0	23.0	0.0	0.0	0.0	45.0	1.0	0.0	265.0
ABCC9	1.0	16.0	18.0	6.0	0.0	16.0	0.0	8.0	14.0	18.0	0.0	4.0	2.0	1.0	4.0	3.0	26.0	26.0	1.0	8.0	3.0	1.0	2.0	6.0	2.0	70.0	39.0	1.0	1.0	1.0	51.0	0.0	0.0	349.0
ABCD1	0.0	4.0	4.0	5.0	0.0	13.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	12.0	8.0	2.0	3.0	0.0	29.0	0.0	0.0	104.0
ABCD2	1.0	9.0	3.0	1.0	0.0	11.0	0.0	4.0	6.0	3.0	0.0	1.0	0.0	0.0	1.0	2.0	16.0	25.0	0.0	5.0	1.0	0.0	1.0	5.0	0.0	29.0	7.0	0.0	0.0	0.0	30.0	2.0	0.0	163.0
ABCD3	0.0	8.0	6.0	3.0	0.0	5.0	0.0	0.0	3.0	4.0	0.0	2.0	1.0	0.0	0.0	0.0	3.0	4.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	16.0	4.0	0.0	0.0	0.0	26.0	0.0	0.0	88.0
ABCD4	1.0	3.0	1.0	6.0	0.0	11.0	2.0	1.0	2.0	5.0	0.0	5.0	2.0	0.0	1.0	1.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	21.0	5.0	0.0	1.0	1.0	12.0	0.0	0.0	91.0
ABCE1	0.0	7.0	6.0	0.0	0.0	9.0	0.0	2.0	2.0	4.0	2.0	1.0	1.0	0.0	3.0	5.0	3.0	3.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	13.0	11.0	0.0	0.0	0.0	21.0	0.0	0.0	97.0
ABCF1	2.0	5.0	6.0	2.0	0.0	7.0	1.0	2.0	3.0	10.0	0.0	1.0	1.0	1.0	2.0	1.0	5.0	5.0	1.0	6.0	1.0	0.0	2.0	2.0	3.0	11.0	12.0	0.0	3.0	0.0	20.0	0.0	0.0	115.0
ABCF2	1.0	1.0	6.0	5.0	0.0	4.0	0.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	6.0	7.0	1.0	3.0	0.0	0.0	0.0	3.0	0.0	6.0	9.0	2.0	0.0	1.0	19.0	0.0	0.0	84.0
ABCF3	0.0	3.0	5.0	6.0	0.0	12.0	0.0	1.0	3.0	6.0	0.0	0.0	0.0	0.0	1.0	1.0	10.0	11.0	0.0	2.0	1.0	0.0	0.0	1.0	4.0	16.0	12.0	0.0	0.0	0.0	22.0	0.0	0.0	117.0
ABCG1	0.0	6.0	5.0	4.0	0.0	8.0	0.0	1.0	3.0	3.0	0.0	2.0	1.0	1.0	1.0	2.0	7.0	2.0	0.0	2.0	2.0	0.0	1.0	2.0	4.0	22.0	13.0	0.0	0.0	1.0	30.0	0.0	0.0	123.0
ABCG2	0.0	12.0	2.0	4.0	1.0	13.0	0.0	0.0	7.0	4.0	0.0	0.0	3.0	0.0	1.0	2.0	12.0	10.0	0.0	1.0	1.0	0.0	3.0	5.0	0.0	23.0	10.0	0.0	1.0	0.0	34.0	1.0	0.0	150.0
ABCG4	0.0	7.0	2.0	1.0	0.0	10.0	1.0	0.0	5.0	8.0	0.0	2.0	3.0	1.0	3.0	3.0	17.0	10.0	0.0	6.0	2.0	0.0	2.0	2.0	1.0	16.0	6.0	0.0	0.0	0.0	17.0	0.0	0.0	125.0
ABCG5	1.0	4.0	4.0	0.0	0.0	8.0	0.0	0.0	3.0	0.0	0.0	1.0	2.0	1.0	2.0	5.0	18.0	3.0	0.0	2.0	3.0	0.0	1.0	1.0	1.0	7.0	4.0	0.0	0.0	0.0	24.0	0.0	0.0	95.0
ABCG8	0.0	1.0	4.0	3.0	0.0	12.0	0.0	3.0	7.0	11.0	0.0	2.0	0.0	1.0	2.0	1.0	18.0	19.0	1.0	1.0	1.0	0.0	0.0	3.0	1.0	22.0	8.0	0.0	2.0	1.0	30.0	2.0	0.0	156.0
ABHD1	0.0	3.0	2.0	2.0	1.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	1.0	7.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	7.0	5.0	0.0	0.0	0.0	13.0	0.0	0.0	55.0
ABHD10	0.0	5.0	0.0	2.0	0.0	2.0	0.0	1.0	2.0	2.0	1.0	0.0	2.0	0.0	1.0	3.0	4.0	6.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	5.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	51.0
ABHD11	0.0	5.0	1.0	3.0	0.0	2.0	0.0	0.0	2.0	4.0	0.0	0.0	3.0	0.0	0.0	1.0	2.0	2.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	11.0	0.0	0.0	48.0
ABHD12	0.0	5.0	2.0	1.0	0.0	4.0	0.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	10.0	3.0	0.0	0.0	0.0	17.0	0.0	0.0	53.0
ABHD12B	1.0	1.0	0.0	2.0	0.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.0	0.0	0.0	0.0	13.0	0.0	0.0	46.0
ABHD13	0.0	6.0	5.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0	5.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	5.0	1.0	0.0	0.0	0.0	22.0	0.0	0.0	64.0
ABHD14A	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	28.0
ABHD14B	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	17.0
ABHD15	0.0	6.0	4.0	1.0	0.0	3.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	11.0	5.0	1.0	1.0	0.0	6.0	0.0	0.0	52.0
ABHD16A	0.0	8.0	5.0	0.0	0.0	4.0	0.0	1.0	2.0	3.0	0.0	0.0	2.0	0.0	1.0	1.0	3.0	6.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	14.0	8.0	0.0	2.0	0.0	14.0	1.0	0.0	81.0
ABHD16B	0.0	1.0	2.0	1.0	0.0	3.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	2.0	2.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	15.0	0.0	0.0	42.0
ABHD17A	0.0	0.0	2.0	2.0	0.0	3.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0	4.0	0.0	0.0	0.0	17.0	0.0	0.0	43.0
ABHD17B	0.0	1.0	0.0	1.0	1.0	3.0	1.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	3.0	2.0	5.0	2.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	16.0	0.0	0.0	47.0
ABHD17C	0.0	2.0	1.0	1.0	0.0	3.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	24.0
ABHD18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD2	0.0	1.0	5.0	1.0	0.0	6.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	2.0	2.0	2.0	6.0	3.0	0.0	3.0	0.0	0.0	2.0	2.0	1.0	6.0	5.0	0.0	1.0	0.0	11.0	0.0	1.0	65.0
ABHD3	1.0	6.0	2.0	2.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	11.0	6.0	0.0	0.0	0.0	15.0	0.0	0.0	60.0
ABHD4	0.0	1.0	2.0	1.0	0.0	5.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	8.0	4.0	0.0	3.0	0.0	20.0	0.0	0.0	57.0
ABHD5	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	1.0	0.0	1.0	0.0	16.0	0.0	0.0	39.0
ABHD6	1.0	2.0	4.0	2.0	0.0	4.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0	4.0	0.0	1.0	0.0	14.0	0.0	0.0	50.0
ABHD8	0.0	3.0	1.0	5.0	0.0	4.0	0.0	2.0	4.0	4.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	10.0	7.0	0.0	0.0	0.0	13.0	0.0	1.0	66.0
ABI1	1.0	5.0	4.0	3.0	0.0	4.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	14.0	5.0	0.0	0.0	0.0	17.0	1.0	0.0	68.0
